NODE	uniprot
CD86	P42081
CD80	P33681
ARAF	P10398
PIK3CD	O00329
CD3G	P09693
PIK3CB	P42338
CD3E	P07766
CD3D	P04234
PIK3CG	P48736
IKBKB	O14920
PPP3CA	Q08209
PPP3CB	P16298
PPP3CC	P48454
GRAP2	O75791
AKT2	P31751
AKT3	Q9Y243
NCK2	O43639
AKT1	P31749
RAC1	P63000
HRAS	P01112
NCK1	P16333
VAV3	Q9UKW4
MAP2K1	Q02750
MAP2K2	P36507
CHUK	O15111
FOS	P01100
VAV1	P15498
VAV2	P52735
ZAP70	P43403
PIK3CA	P42336
LCK	P06239
LCP2	Q13094
PIK3C3	Q8NEB9
PRKCQ	Q04759
SOS1	Q07889
RAF1	P04049
SOS2	Q07890
ITPR1	Q14643
PIK3R3	Q92569
PIK3R2	O00459
PIK3R1	P27986
CDC42	P60953
MAPK9	P45984
NRAS	P01111
PAK1	Q13153
MAPK8	P45983
MAPK1	P28482
CSK	P41240
PLCG1	P19174
PAK3	O75914
PAK2	Q13177
MAPK3	P27361
JUN	P05412
MAP3K1	Q13233
BRAF	P15056
NFKBIA	P25963
PTPRC	P08575
CD28	P10747
CD247	P20963
CALM1	P0DP23
LAT	O43561
