id1	id2
ACVR1	ACVR2A
ACVR1	ACVR2B
ACVR1	AMHR2
ACVR1B	ACVR2A
ACVR1B	ACVR2B
ACVR1B	AMHR2
ACVR1B	BMP10
ACVR1B	BMP15
ACVR1B	BMP1
ACVR1B	BMP2
ACVR1B	BMP3
ACVR1B	BMP4
ACVR1B	BMP5
ACVR1B	BMP6
ACVR1B	BMP7
ACVR1B	BMP8A
ACVR1B	BMP8B
ACVR1B	BMPR2
ACVR1B	GDF10
ACVR1B	GDF11
ACVR1B	GDF15
ACVR1B	GDF1
ACVR1B	GDF2
ACVR1B	GDF3
ACVR1B	GDF5
ACVR1B	GDF6
ACVR1B	GDF7
ACVR1B	GDF9
ACVR1B	GDNF
ACVR1B	INHBA
ACVR1B	INHBB
ACVR1B	INHBC
ACVR1B	INHBE
ACVR1B	LEFTY1
ACVR1B	LEFTY2
ACVR1B	MAP3K7CL
ACVR1B	MAP3K7CL
ACVR1B	MAP3K7
ACVR1B	MAP3K7
ACVR1	BMP10
ACVR1	BMP15
ACVR1	BMP1
ACVR1	BMP2
ACVR1	BMP3
ACVR1	BMP4
ACVR1	BMP5
ACVR1	BMP6
ACVR1	BMP7
ACVR1	BMP8A
ACVR1	BMP8B
ACVR1	BMPR2
ACVR1B	MSTN
ACVR1B	NODAL
ACVR1B	SMAD1
ACVR1B	SMAD1
ACVR1B	SMAD2
ACVR1B	SMAD2
ACVR1B	SMAD3
ACVR1B	SMAD3
ACVR1B	SMAD5
ACVR1B	SMAD5
ACVR1B	SMAD9
ACVR1B	SMAD9
ACVR1B	TGFB2
ACVR1B	TGFB3
ACVR1B	TGFBR2
ACVR1B	TLL1
ACVR1B	TLL2
ACVR1C	ACVR2A
ACVR1C	ACVR2B
ACVR1C	AMHR2
ACVR1C	BMP10
ACVR1C	BMP15
ACVR1C	BMP1
ACVR1C	BMP2
ACVR1C	BMP3
ACVR1C	BMP4
ACVR1C	BMP5
ACVR1C	BMP6
ACVR1C	BMP7
ACVR1C	BMP8A
ACVR1C	BMP8B
ACVR1C	BMPR2
ACVR1C	GDF10
ACVR1C	GDF11
ACVR1C	GDF15
ACVR1C	GDF1
ACVR1C	GDF2
ACVR1C	GDF3
ACVR1C	GDF5
ACVR1C	GDF6
ACVR1C	GDF7
ACVR1C	GDF9
ACVR1C	GDNF
ACVR1C	INHBA
ACVR1C	INHBB
ACVR1C	INHBC
ACVR1C	INHBE
ACVR1C	LEFTY1
ACVR1C	LEFTY2
ACVR1C	MAP3K7CL
ACVR1C	MAP3K7CL
ACVR1C	MAP3K7
ACVR1C	MAP3K7
ACVR1C	MSTN
ACVR1C	NODAL
ACVR1C	SMAD1
ACVR1C	SMAD1
ACVR1C	SMAD2
ACVR1C	SMAD2
ACVR1C	SMAD3
ACVR1C	SMAD3
ACVR1C	SMAD5
ACVR1C	SMAD5
ACVR1C	SMAD9
ACVR1C	SMAD9
ACVR1C	TGFB2
ACVR1C	TGFB3
ACVR1C	TGFBR2
ACVR1C	TLL1
ACVR1C	TLL2
ACVR1	GDF10
ACVR1	GDF11
ACVR1	GDF15
ACVR1	GDF1
ACVR1	GDF2
ACVR1	GDF3
ACVR1	GDF5
ACVR1	GDF6
ACVR1	GDF7
ACVR1	GDF9
ACVR1	GDNF
ACVR1	INHBA
ACVR1	INHBB
ACVR1	INHBC
ACVR1	INHBE
ACVR1	LEFTY1
ACVR1	LEFTY2
ACVR1	MAP3K7CL
ACVR1	MAP3K7CL
ACVR1	MAP3K7
ACVR1	MAP3K7
ACVR1	MSTN
ACVR1	NODAL
ACVR1	SMAD1
ACVR1	SMAD1
ACVR1	SMAD2
ACVR1	SMAD2
ACVR1	SMAD3
ACVR1	SMAD3
ACVR1	SMAD5
ACVR1	SMAD5
ACVR1	SMAD9
ACVR1	SMAD9
ACVR1	TGFB2
ACVR1	TGFB3
ACVR1	TGFBR2
ACVR1	TLL1
ACVR1	TLL2
ACVR2A	ACVRL1
ACVR2A	BMP10
ACVR2A	BMP15
ACVR2A	BMP1
ACVR2A	BMP2
ACVR2A	BMP3
ACVR2A	BMP4
ACVR2A	BMP5
ACVR2A	BMP6
ACVR2A	BMP7
ACVR2A	BMP8A
ACVR2A	BMP8B
ACVR2A	BMPR1A
ACVR2A	BMPR1B
ACVR2A	GDF10
