protein1	protein2	score
9606.ENSP00000379181	9606.ENSP00000316032	990
9606.ENSP00000389810	9606.ENSP00000355944	990
9606.ENSP00000307491	9606.ENSP00000407818	990
9606.ENSP00000227524	9606.ENSP00000360532	990
9606.ENSP00000377001	9606.ENSP00000264414	990
9606.ENSP00000254480	9606.ENSP00000343896	990
9606.ENSP00000261584	9606.ENSP00000331310	990
9606.ENSP00000235310	9606.ENSP00000351697	990
9606.ENSP00000376272	9606.ENSP00000369411	990
9606.ENSP00000304102	9606.ENSP00000386880	990
9606.ENSP00000302530	9606.ENSP00000335463	990
9606.ENSP00000361446	9606.ENSP00000380904	990
9606.ENSP00000266679	9606.ENSP00000300291	990
9606.ENSP00000290158	9606.ENSP00000446215	990
9606.ENSP00000373474	9606.ENSP00000298717	990
9606.ENSP00000348554	9606.ENSP00000339109	990
9606.ENSP00000272645	9606.ENSP00000301788	990
9606.ENSP00000244537	9606.ENSP00000229595	990
9606.ENSP00000354621	9606.ENSP00000305769	990
9606.ENSP00000230354	9606.ENSP00000452454	990
9606.ENSP00000358140	9606.ENSP00000332604	990
9606.ENSP00000414109	9606.ENSP00000336868	990
9606.ENSP00000378786	9606.ENSP00000353099	990
9606.ENSP00000262160	9606.ENSP00000367797	990
9606.ENSP00000354340	9606.ENSP00000351990	990
9606.ENSP00000441369	9606.ENSP00000323867	990
9606.ENSP00000267101	9606.ENSP00000287842	990
9606.ENSP00000292599	9606.ENSP00000345206	990
9606.ENSP00000252268	9606.ENSP00000320485	990
9606.ENSP00000268058	9606.ENSP00000376077	990
9606.ENSP00000362688	9606.ENSP00000253108	990
9606.ENSP00000410294	9606.ENSP00000480791	990
9606.ENSP00000407586	9606.ENSP00000384675	990
9606.ENSP00000339109	9606.ENSP00000477760	990
9606.ENSP00000220849	9606.ENSP00000499067	991
9606.ENSP00000274255	9606.ENSP00000311083	991
9606.ENSP00000261303	9606.ENSP00000386541	991
9606.ENSP00000436049	9606.ENSP00000431800	991
9606.ENSP00000315112	9606.ENSP00000284274	991
9606.ENSP00000307241	9606.ENSP00000369134	991
9606.ENSP00000248342	9606.ENSP00000499067	991
9606.ENSP00000371469	9606.ENSP00000258774	991
9606.ENSP00000449396	9606.ENSP00000340883	991
9606.ENSP00000469468	9606.ENSP00000252622	991
9606.ENSP00000366474	9606.ENSP00000495360	991
9606.ENSP00000400591	9606.ENSP00000266735	991
9606.ENSP00000340305	9606.ENSP00000316176	991
9606.ENSP00000354125	9606.ENSP00000358140	991
9606.ENSP00000360242	9606.ENSP00000358327	991
9606.ENSP00000364519	9606.ENSP00000345571	991
9606.ENSP00000265339	9606.ENSP00000264926	991
9606.ENSP00000264972	9606.ENSP00000354782	991
9606.ENSP00000441543	9606.ENSP00000355865	991
9606.ENSP00000431800	9606.ENSP00000358140	991
9606.ENSP00000276533	9606.ENSP00000253462	991
9606.ENSP00000286317	9606.ENSP00000255764	991
9606.ENSP00000263238	9606.ENSP00000389631	991
9606.ENSP00000389631	9606.ENSP00000295685	991
9606.ENSP00000261600	9606.ENSP00000245838	991
9606.ENSP00000348442	9606.ENSP00000386541	991
9606.ENSP00000348965	9606.ENSP00000380308	991
9606.ENSP00000376055	9606.ENSP00000331901	991
9606.ENSP00000444357	9606.ENSP00000441543	991
9606.ENSP00000266987	9606.ENSP00000437256	991
9606.ENSP00000263734	9606.ENSP00000256474	991
9606.ENSP00000261597	9606.ENSP00000271452	991
9606.ENSP00000290158	9606.ENSP00000438483	991
9606.ENSP00000352257	9606.ENSP00000313420	991
9606.ENSP00000351777	9606.ENSP00000381282	991
9606.ENSP00000380904	9606.ENSP00000299853	991
9606.ENSP00000378414	9606.ENSP00000449396	991
9606.ENSP00000346340	9606.ENSP00000299259	991
9606.ENSP00000356563	9606.ENSP00000357051	991
9606.ENSP00000308533	9606.ENSP00000370083	991
9606.ENSP00000366306	9606.ENSP00000264033	991
9606.ENSP00000355279	9606.ENSP00000320949	991
9606.ENSP00000368104	9606.ENSP00000361107	991
9606.ENSP00000216122	9606.ENSP00000265056	991
9606.ENSP00000299163	9606.ENSP00000437955	991
9606.ENSP00000333633	9606.ENSP00000362592	991
9606.ENSP00000262265	9606.ENSP00000005386	991
9606.ENSP00000354558	9606.ENSP00000383003	991
9606.ENSP00000340896	9606.ENSP00000345837	991
9606.ENSP00000478927	9606.ENSP00000435233	991
9606.ENSP00000484669	9606.ENSP00000292476	991
9606.ENSP00000437125	9606.ENSP00000489189	991
9606.ENSP00000264515	9606.ENSP00000436786	991
9606.ENSP00000365131	9606.ENSP00000292363	991
9606.ENSP00000386880	9606.ENSP00000350512	991
9606.ENSP00000498596	9606.ENSP00000329967	991
9606.ENSP00000368022	9606.ENSP00000329967	991
9606.ENSP00000481570	9606.ENSP00000441543	991
9606.ENSP00000401018	9606.ENSP00000276533	991
9606.ENSP00000263734	9606.ENSP00000351407	991
9606.ENSP00000307288	9606.ENSP00000262105	991
9606.ENSP00000278568	9606.ENSP00000497733	991
9606.ENSP00000345702	9606.ENSP00000240055	991
9606.ENSP00000338348	9606.ENSP00000290649	991
9606.ENSP00000480853	9606.ENSP00000299138	991
9606.ENSP00000446039	9606.ENSP00000304102	991
9606.ENSP00000266000	9606.ENSP00000254810	991
9606.ENSP00000446039	9606.ENSP00000268717	991
9606.ENSP00000245838	9606.ENSP00000265097	991
9606.ENSP00000324856	9606.ENSP00000258418	991
9606.ENSP00000260187	9606.ENSP00000441543	991
9606.ENSP00000266126	9606.ENSP00000429323	991
9606.ENSP00000350512	9606.ENSP00000424655	991
9606.ENSP00000429931	9606.ENSP00000499067	991
9606.ENSP00000378414	9606.ENSP00000320485	991
9606.ENSP00000265857	9606.ENSP00000365131	991
9606.ENSP00000323421	9606.ENSP00000354720	991
9606.ENSP00000293288	9606.ENSP00000381185	991
9606.ENSP00000389631	9606.ENSP00000345361	991
9606.ENSP00000307288	9606.ENSP00000480987	991
9606.ENSP00000496695	9606.ENSP00000441543	991
9606.ENSP00000498321	9606.ENSP00000479889	991
9606.ENSP00000386880	9606.ENSP00000424655	991
9606.ENSP00000216225	9606.ENSP00000253023	991
9606.ENSP00000307853	9606.ENSP00000294008	991
9606.ENSP00000323967	9606.ENSP00000449396	991
9606.ENSP00000227507	9606.ENSP00000228872	991
9606.ENSP00000323046	9606.ENSP00000368984	991
9606.ENSP00000258169	9606.ENSP00000323046	991
9606.ENSP00000371469	9606.ENSP00000311360	991
9606.ENSP00000348056	9606.ENSP00000405965	991
9606.ENSP00000304102	9606.ENSP00000424655	991
9606.ENSP00000264110	9606.ENSP00000360266	991
9606.ENSP00000441543	9606.ENSP00000316176	991
9606.ENSP00000242057	9606.ENSP00000351407	991
9606.ENSP00000331201	9606.ENSP00000366746	991
9606.ENSP00000376167	9606.ENSP00000304102	991
9606.ENSP00000358674	9606.ENSP00000365131	991
9606.ENSP00000399968	9606.ENSP00000405330	991
9606.ENSP00000497737	9606.ENSP00000478754	991
9606.ENSP00000303830	9606.ENSP00000360683	991
