NODE	uniprot
GSK3B	P49841
ATF2	P15336
GSK3A	P49840
MAP3K7CL	P57077
ARAF	P10398
PIK3CD	O00329
PIK3CB	P42338
ETS1	P14921
ELK1	P19419
PIK3CG	P48736
RPS6KA3	P51812
RPS6KA6	Q9UK32
RPS6KA2	Q15349
AKT3	Q9Y243
RPS6KA1	Q15418
RAC2	P15153
RAC3	P60763
AKT1	P31749
RAC1	P63000
HRAS	P01112
MAP3K4	Q9Y6R4
MAP2K3	P46734
MAP2K4	P45985
MAP2K1	Q02750
MAP2K2	P36507
PDPK1	O15530
RHOC	P08134
RHOA	P61586
RHOB	P62745
TIAM1	Q13009
PIK3CA	P42336
MAPKAPK3	Q16644
MAPKAPK2	P49137
PIK3C3	Q8NEB9
RAF1	P04049
SOS1	Q07889
SOS2	Q07890
EXOC2	Q96KP1
RALA	P11233
RALB	P11234
SHC1	P29353
SRF	P11831
PLD1	Q13393
PLD2	O14939
CDC42	P60953
MAPK9	P45984
MAPK8	P45983
NRAS	P01111
PAK1	Q13153
MAPK1	P28482
MAP2K7	O14733
PAK3	O75914
RALGDS	Q12967
PAK2	Q13177
MAPK3	P27361
MAP2K6	P52564
JUN	P05412
MAP3K1	Q13233
STAT1	P42224
STAT3	P40763
BRAF	P15056
MAPK14	Q16539
MAPK12	P53778
MAPK13	O15264
MAPK10	P53779
MAPK11	Q15759
GRB2	P62993
KRAS	P01116
RGL1	Q9NZL6
RGL2	O15211
