NODE	uniprot
ARAF	P10398
PIK3CD	O00329
PIK3CB	P42338
PIK3CG	P48736
IKBKB	O14920
PPP3CA	Q08209
PPP3CB	P16298
BLNK	Q8WV28
RAC2	P15153
RAC1	P63000
HRAS	P01112
VAV3	Q9UKW4
MAP2K1	Q02750
MAP2K2	P36507
CHUK	O15111
SYK	P43405
PRKCB	P05771
NFKBIL1	Q9UBC1
PRKCD	Q05655
FOS	P01100
VAV1	P15498
VAV2	P52735
PIK3CA	P42336
BTK	Q06187
SOS1	Q07889
RAF1	P04049
SOS2	Q07890
ITPR1	Q14643
ITPR2	Q14571
ITPR3	Q14573
CD79B	P40259
CD79A	P11912
MAPK9	P45984
NRAS	P01111
MAPK8	P45983
CD19	P15391
PLCG2	P16885
MAPK1	P28482
MAPK3	P27361
LYN	P07948
MAP3K2	Q9Y2U5
MAP3K3	Q99759
JUN	P05412
MAPK14	Q16539
MAPK12	P53778
MAPK13	O15264
MAPK10	P53779
NFKBIA	P25963
MAPK11	Q15759
PTPRC	P08575
GRB2	P62993
PTPN6	P29350
CALM1	P0DP23
CD22	P20273
