PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
ARAF	in-complex-with	HRAS	PANTHER		B cell activation	panther:_Complex__Ras_GTP__Raf__s310_a230_;panther:_Complex__Ras_Raf__MEK_GTP__s272_a315_
ARAF	in-complex-with	MAP2K1	PANTHER		B cell activation	panther:_Complex__Ras_Raf__MEK_GTP__s272_a315_
ARAF	in-complex-with	MAP2K2	PANTHER		B cell activation	panther:_Complex__Ras_Raf__MEK_GTP__s272_a315_
ARAF	in-complex-with	NRAS	PANTHER		B cell activation	panther:_Complex__Ras_GTP__Raf__s310_a230_;panther:_Complex__Ras_Raf__MEK_GTP__s272_a315_
BLNK	in-complex-with	BTK	PANTHER		B cell activation	panther:_Complex__BLNK_Btk__PLC_gamma2_Grb2__SOS__s76_a120_;panther:_Complex__BLNK_PLC_gamma2__Btk_Grb2__SOS__s317_a145_
BLNK	in-complex-with	GRB2	PANTHER		B cell activation	panther:_Complex__BLNK_Btk__PLC_gamma2_Grb2__SOS__s76_a120_;panther:_Complex__BLNK_PLC_gamma2__Btk_Grb2__SOS__s317_a145_
BLNK	controls-state-change-of	HRAS	PANTHER		B cell activation	panther:_CATALYSIS___Complex__BLNK_PLC_gamma2__Btk_Grb2__SOS__r42m1_r42;panther:STATE_TRANSITION_LEFT__GTP-_Complex__Ras_GDP__-RIGHT__Complex__Ras_GTP_-_GDP-_r42
BLNK	controls-state-change-of	ITPR1	PANTHER		B cell activation	panther:_IP3_s86_a136_;panther:_CATALYSIS___Complex__BLNK_PLC_gamma2__Btk_Grb2__SOS__r23m1_r23;panther:STATE_TRANSITION_LEFT__IP3R-RIGHT__IP3R-_r80;panther:_PHYSICAL_STIMULATION___IP3_r80m1_r80;panther:TRUNCATION_LEFT__PIP2-RIGHT__DAG-_IP3-_r23
BLNK	controls-state-change-of	ITPR2	PANTHER		B cell activation	panther:_IP3_s86_a136_;panther:_CATALYSIS___Complex__BLNK_PLC_gamma2__Btk_Grb2__SOS__r23m1_r23;panther:STATE_TRANSITION_LEFT__IP3R-RIGHT__IP3R-_r80;panther:_PHYSICAL_STIMULATION___IP3_r80m1_r80;panther:TRUNCATION_LEFT__PIP2-RIGHT__DAG-_IP3-_r23
BLNK	controls-state-change-of	ITPR3	PANTHER		B cell activation	panther:_IP3_s86_a136_;panther:_CATALYSIS___Complex__BLNK_PLC_gamma2__Btk_Grb2__SOS__r23m1_r23;panther:STATE_TRANSITION_LEFT__IP3R-RIGHT__IP3R-_r80;panther:_PHYSICAL_STIMULATION___IP3_r80m1_r80;panther:TRUNCATION_LEFT__PIP2-RIGHT__DAG-_IP3-_r23
BLNK	controls-state-change-of	NRAS	PANTHER		B cell activation	panther:_CATALYSIS___Complex__BLNK_PLC_gamma2__Btk_Grb2__SOS__r42m1_r42;panther:STATE_TRANSITION_LEFT__GTP-_Complex__Ras_GDP__-RIGHT__Complex__Ras_GTP_-_GDP-_r42
BLNK	in-complex-with	PLCG2	PANTHER		B cell activation	panther:_Complex__BLNK_Btk__PLC_gamma2_Grb2__SOS__s76_a120_;panther:_Complex__BLNK_PLC_gamma2__Btk_Grb2__SOS__s317_a145_
