NODE1	INTERACTION_TYPE	NODE2
CD14	in-complex-with	LY96
CD14	controls-state-change-of	MYD88
CD14	controls-state-change-of	TIRAP
CD14	in-complex-with	TLR4
CHUK	controls-phosphorylation-of	NFKBIA
CHUK	controls-state-change-of	NFKBIA
CHUK	controls-phosphorylation-of	NFKBIE
CHUK	controls-state-change-of	NFKBIE
ECSIT	controls-phosphorylation-of	CHUK
ECSIT	controls-state-change-of	CHUK
ECSIT	controls-phosphorylation-of	IKBKB
ECSIT	controls-state-change-of	IKBKB
ECSIT	in-complex-with	MAP3K7
ECSIT	in-complex-with	TAB1
ECSIT	in-complex-with	TRAF6
IKBKB	controls-phosphorylation-of	NFKBIA
IKBKB	controls-state-change-of	NFKBIA
IKBKB	controls-phosphorylation-of	NFKBIE
IKBKB	controls-state-change-of	NFKBIE
IKBKE	controls-phosphorylation-of	IRF3
IKBKE	controls-state-change-of	IRF3
IKBKE	controls-phosphorylation-of	NFKBIA
IKBKE	controls-state-change-of	NFKBIA
IKBKE	controls-phosphorylation-of	NFKBIE
IKBKE	controls-state-change-of	NFKBIE
IKBKE	in-complex-with	TANK
IKBKE	in-complex-with	TBK1
IRAK1	in-complex-with	IRAK4
IRAK1	controls-phosphorylation-of	MAP3K7
IRAK1	controls-state-change-of	MAP3K7
IRAK1	controls-phosphorylation-of	TRAF6
IRAK1	controls-state-change-of	TRAF6
IRAK3	controls-state-change-of	IRAK1
IRAK3	controls-state-change-of	IRAK4
IRAK4	controls-phosphorylation-of	TOLLIP
IRAK4	controls-state-change-of	TOLLIP
LY96	controls-state-change-of	MYD88
LY96	controls-state-change-of	TIRAP
LY96	in-complex-with	TLR4
MAP2K1	controls-phosphorylation-of	MAPK3
MAP2K1	controls-state-change-of	MAPK3
MAP2K3	controls-phosphorylation-of	MAPK14
MAP2K3	controls-state-change-of	MAPK14
MAP2K3	controls-phosphorylation-of	MAPK8
MAP2K3	controls-state-change-of	MAPK8
MAP2K3	controls-phosphorylation-of	MAPK9
MAP2K3	controls-state-change-of	MAPK9
MAP3K7	controls-phosphorylation-of	CHUK
MAP3K7	controls-state-change-of	CHUK
MAP3K7	controls-phosphorylation-of	IKBKB
MAP3K7	controls-state-change-of	IKBKB
MAP3K7	controls-phosphorylation-of	MAP2K3
MAP3K7	controls-state-change-of	MAP2K3
MAP3K7	in-complex-with	TAB1
MAP3K7	in-complex-with	TRAF6
MAP3K8	controls-phosphorylation-of	MAP2K1
MAP3K8	controls-state-change-of	MAP2K1
MAP3K8	controls-phosphorylation-of	MAP2K2
MAP3K8	controls-state-change-of	MAP2K2
MAPK14	controls-phosphorylation-of	JUN
MAPK14	controls-state-change-of	JUN
MAPK3	controls-phosphorylation-of	ELK1
MAPK3	controls-state-change-of	ELK1
MAPK8	controls-phosphorylation-of	JUN
MAPK8	controls-state-change-of	JUN
MAPK9	controls-phosphorylation-of	JUN
MAPK9	controls-state-change-of	JUN
MYD88	controls-phosphorylation-of	IRAK4
MYD88	controls-state-change-of	IRAK4
MYD88	in-complex-with	TIRAP
TAB1	controls-phosphorylation-of	CHUK
TAB1	controls-state-change-of	CHUK
TAB1	controls-phosphorylation-of	IKBKB
TAB1	controls-state-change-of	IKBKB
TAB1	in-complex-with	TRAF6
TANK	controls-phosphorylation-of	IRF3
TANK	controls-state-change-of	IRF3
TANK	controls-phosphorylation-of	NFKBIA
TANK	controls-state-change-of	NFKBIA
TANK	controls-phosphorylation-of	NFKBIE
TANK	controls-state-change-of	NFKBIE
TANK	in-complex-with	TBK1
TBK1	controls-phosphorylation-of	IRF3
TBK1	controls-state-change-of	IRF3
TBK1	controls-phosphorylation-of	NFKBIA
TBK1	controls-state-change-of	NFKBIA
TBK1	controls-phosphorylation-of	NFKBIE
TBK1	controls-state-change-of	NFKBIE
TICAM1	controls-state-change-of	IKBKE
TICAM2	controls-state-change-of	IKBKE
TIRAP	controls-phosphorylation-of	IRAK4
TIRAP	controls-state-change-of	IRAK4
TLR10	controls-state-change-of	MYD88
TLR2	controls-state-change-of	MYD88
TLR2	controls-state-change-of	TICAM1
TLR2	controls-state-change-of	TICAM2
TLR2	controls-state-change-of	TIRAP
TLR3	controls-state-change-of	MYD88
TLR3	controls-state-change-of	TICAM1
TLR3	controls-state-change-of	TICAM2
TLR4	controls-state-change-of	MYD88
TLR4	controls-state-change-of	TICAM1
TLR4	controls-state-change-of	TICAM2
TLR4	controls-state-change-of	TIRAP
TLR6	controls-state-change-of	MYD88
TLR6	controls-state-change-of	TIRAP
TLR7	controls-state-change-of	MYD88
TLR7	controls-state-change-of	TICAM1
TLR7	controls-state-change-of	TICAM2
TLR8	controls-state-change-of	MYD88
TLR9	controls-state-change-of	MYD88
TNFAIP3	controls-phosphorylation-of	TRAF6
TNFAIP3	controls-state-change-of	TRAF6
TRAF6	controls-phosphorylation-of	CHUK
TRAF6	controls-state-change-of	CHUK
TRAF6	controls-phosphorylation-of	IKBKB
TRAF6	controls-state-change-of	IKBKB
UBE2NL	controls-state-change-of	TRAF6
UBE2NL	in-complex-with	UBE2V1
UBE2N	controls-state-change-of	TRAF6
UBE2N	in-complex-with	UBE2V1
UBE2V1	controls-state-change-of	TRAF6
