PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
AKT1	controls-phosphorylation-of	GSK3A	PANTHER		Ras Pathway	panther:_INHIBITION___AKT_r35m1_r35;panther:STATE_TRANSITION_LEFT__GSK3-RIGHT__GSK3-_r35
AKT1	controls-state-change-of	GSK3A	PANTHER		Ras Pathway	panther:_INHIBITION___AKT_r35m1_r35;panther:STATE_TRANSITION_LEFT__GSK3-RIGHT__GSK3-_r35
AKT1	controls-phosphorylation-of	GSK3B	PANTHER		Ras Pathway	panther:_INHIBITION___AKT_r35m1_r35;panther:STATE_TRANSITION_LEFT__GSK3-RIGHT__GSK3-_r35
AKT1	controls-state-change-of	GSK3B	PANTHER		Ras Pathway	panther:_INHIBITION___AKT_r35m1_r35;panther:STATE_TRANSITION_LEFT__GSK3-RIGHT__GSK3-_r35
AKT3	controls-phosphorylation-of	GSK3A	PANTHER		Ras Pathway	panther:_INHIBITION___AKT_r35m1_r35;panther:STATE_TRANSITION_LEFT__GSK3-RIGHT__GSK3-_r35
AKT3	controls-state-change-of	GSK3A	PANTHER		Ras Pathway	panther:_INHIBITION___AKT_r35m1_r35;panther:STATE_TRANSITION_LEFT__GSK3-RIGHT__GSK3-_r35
AKT3	controls-phosphorylation-of	GSK3B	PANTHER		Ras Pathway	panther:_INHIBITION___AKT_r35m1_r35;panther:STATE_TRANSITION_LEFT__GSK3-RIGHT__GSK3-_r35
AKT3	controls-state-change-of	GSK3B	PANTHER		Ras Pathway	panther:_INHIBITION___AKT_r35m1_r35;panther:STATE_TRANSITION_LEFT__GSK3-RIGHT__GSK3-_r35
ARAF	controls-phosphorylation-of	MAP2K1	PANTHER		Ras Pathway	panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r21;panther:_CATALYSIS___Raf_r21m1_r21
ARAF	controls-state-change-of	MAP2K1	PANTHER		Ras Pathway	panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r21;panther:_CATALYSIS___Raf_r21m1_r21
ARAF	controls-phosphorylation-of	MAP2K2	PANTHER		Ras Pathway	panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r21;panther:_CATALYSIS___Raf_r21m1_r21
ARAF	controls-state-change-of	MAP2K2	PANTHER		Ras Pathway	panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r21;panther:_CATALYSIS___Raf_r21m1_r21
BRAF	controls-phosphorylation-of	MAP2K1	PANTHER		Ras Pathway	panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r21;panther:_CATALYSIS___Raf_r21m1_r21
BRAF	controls-state-change-of	MAP2K1	PANTHER		Ras Pathway	panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r21;panther:_CATALYSIS___Raf_r21m1_r21
BRAF	controls-phosphorylation-of	MAP2K2	PANTHER		Ras Pathway	panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r21;panther:_CATALYSIS___Raf_r21m1_r21
