PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
AKT1	controls-state-change-of	MAP3K1	PANTHER		T cell activation	panther:STATE_TRANSITION_LEFT__MEKK-RIGHT__MEKK-_r85;panther:_MODULATION___Complex__PIP2_Akt__r85m1_r85;panther:_MODULATION___Complex__PIP3_Akt__r85m3_r85
AKT2	controls-state-change-of	MAP3K1	PANTHER		T cell activation	panther:STATE_TRANSITION_LEFT__MEKK-RIGHT__MEKK-_r85;panther:_MODULATION___Complex__PIP2_Akt__r85m1_r85;panther:_MODULATION___Complex__PIP3_Akt__r85m3_r85
AKT3	controls-state-change-of	MAP3K1	PANTHER		T cell activation	panther:STATE_TRANSITION_LEFT__MEKK-RIGHT__MEKK-_r85;panther:_MODULATION___Complex__PIP2_Akt__r85m1_r85;panther:_MODULATION___Complex__PIP3_Akt__r85m3_r85
ARAF	in-complex-with	HRAS	PANTHER		T cell activation	panther:_Complex__Ras_GTP__Raf_MEK__s449_a691_;panther:_Complex__Ras_GTP__Raf__s490_a693_
ARAF	in-complex-with	MAP2K1	PANTHER		T cell activation	panther:_Complex__Ras_GTP__Raf_MEK__s449_a691_
ARAF	in-complex-with	MAP2K2	PANTHER		T cell activation	panther:_Complex__Ras_GTP__Raf_MEK__s449_a691_
ARAF	in-complex-with	NRAS	PANTHER		T cell activation	panther:_Complex__Ras_GTP__Raf_MEK__s449_a691_;panther:_Complex__Ras_GTP__Raf__s490_a693_
BRAF	in-complex-with	HRAS	PANTHER		T cell activation	panther:_Complex__Ras_GTP__Raf_MEK__s449_a691_;panther:_Complex__Ras_GTP__Raf__s490_a693_
BRAF	in-complex-with	MAP2K1	PANTHER		T cell activation	panther:_Complex__Ras_GTP__Raf_MEK__s449_a691_
BRAF	in-complex-with	MAP2K2	PANTHER		T cell activation	panther:_Complex__Ras_GTP__Raf_MEK__s449_a691_
BRAF	in-complex-with	NRAS	PANTHER		T cell activation	panther:_Complex__Ras_GTP__Raf_MEK__s449_a691_;panther:_Complex__Ras_GTP__Raf__s490_a693_
CALM1	controls-state-change-of	PPP3CA	PANTHER		T cell activation	panther:_CATALYSIS___Complex__Calmodulin_Ca_PLUS__PLUS___Ca_PLUS__PLUS___r48m1_r48;panther:STATE_TRANSITION_LEFT__Calcineurin-RIGHT__Calcineurin-_r48
CALM1	controls-state-change-of	PPP3CB	PANTHER		T cell activation	panther:_CATALYSIS___Complex__Calmodulin_Ca_PLUS__PLUS___Ca_PLUS__PLUS___r48m1_r48;panther:STATE_TRANSITION_LEFT__Calcineurin-RIGHT__Calcineurin-_r48
CALM1	controls-state-change-of	PPP3CC	PANTHER		T cell activation	panther:_CATALYSIS___Complex__Calmodulin_Ca_PLUS__PLUS___Ca_PLUS__PLUS___r48m1_r48;panther:STATE_TRANSITION_LEFT__Calcineurin-RIGHT__Calcineurin-_r48
CD247	in-complex-with	CD3D	PANTHER		T cell activation	panther:_Complex__TCR_Beta_CD3_gamma__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__s398_a648_;panther:_Complex__TCR_Beta_MHC_antigen__CD3_gamma_TCR_alpha__CD3_eta_CD3_delta__TCR_zeta__s370_a615_;panther:_Complex__CD3_gamma_TCR_Beta__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__s437_a667_;panther:_Complex__CD3_gamma_TCR_alpha__TCR_Beta_CD3_delta__CD3_eta_TCR_zeta__s362_a601_;panther:_Complex__TCR_Beta_MHC_antigen__TCR_alpha_CD3_gamma__CD3_delta_CD3_eta__TCR_zeta__s384_a629_
CD247	in-complex-with	CD3E	PANTHER		T cell activation	panther:_Complex__TCR_Beta_CD3_gamma__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__s398_a648_;panther:_Complex__TCR_Beta_MHC_antigen__CD3_gamma_TCR_alpha__CD3_eta_CD3_delta__TCR_zeta__s370_a615_;panther:_Complex__CD3_gamma_TCR_Beta__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__s437_a667_;panther:_Complex__CD3_gamma_TCR_alpha__TCR_Beta_CD3_delta__CD3_eta_TCR_zeta__s362_a601_;panther:_Complex__TCR_Beta_MHC_antigen__TCR_alpha_CD3_gamma__CD3_delta_CD3_eta__TCR_zeta__s384_a629_
CD247	in-complex-with	CD3G	PANTHER		T cell activation	panther:_Complex__TCR_Beta_CD3_gamma__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__s398_a648_;panther:_Complex__TCR_Beta_MHC_antigen__CD3_gamma_TCR_alpha__CD3_eta_CD3_delta__TCR_zeta__s370_a615_;panther:_Complex__CD3_gamma_TCR_Beta__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__s437_a667_;panther:_Complex__CD3_gamma_TCR_alpha__TCR_Beta_CD3_delta__CD3_eta_TCR_zeta__s362_a601_;panther:_Complex__TCR_Beta_MHC_antigen__TCR_alpha_CD3_gamma__CD3_delta_CD3_eta__TCR_zeta__s384_a629_
CD247	controls-phosphorylation-of	LAT	PANTHER		T cell activation	panther:STATE_TRANSITION_LEFT__LAT-RIGHT__LAT-_r16;panther:_CATALYSIS___Complex__CD3_gamma_TCR_Beta__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__r16m1_r16
CD247	controls-state-change-of	LAT	PANTHER		T cell activation	panther:STATE_TRANSITION_LEFT__LAT-RIGHT__LAT-_r16;panther:_CATALYSIS___Complex__CD3_gamma_TCR_Beta__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__r16m1_r16
CD247	in-complex-with	ZAP70	PANTHER		T cell activation	panther:_Complex__TCR_Beta_CD3_gamma__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__s398_a648_;panther:_Complex__CD3_gamma_TCR_Beta__CD3_delta_CD3_eta__TCR_zeta_ZAP_70__TCR_alpha__s437_a667_
CD28	in-complex-with	CD80	PANTHER		T cell activation	panther:_Complex__CD28_B7__s344_a579_;panther:_Complex__CD28_B7__s343_a575_
CD28	in-complex-with	CD86	PANTHER		T cell activation	panther:_Complex__CD28_B7__s344_a579_;panther:_Complex__CD28_B7__s343_a575_
CD28	controls-state-change-of	PIK3C3	PANTHER		T cell activation	panther:_CATALYSIS___Complex__CD28_B7__r115m1_r115;panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r115
CD28	controls-state-change-of	PIK3CA	PANTHER		T cell activation	panther:_CATALYSIS___Complex__CD28_B7__r115m1_r115;panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r115
CD28	controls-state-change-of	PIK3CB	PANTHER		T cell activation	panther:_CATALYSIS___Complex__CD28_B7__r115m1_r115;panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r115
