id	uniprot	string	ensembl
GSK3B	P49841	9606.ENSP00000324806	ENSG00000082701
ATF2	P15336	9606.ENSP00000264110	ENSG00000115966
GSK3A	P49840	9606.ENSP00000222330	ENSG00000105723
MAP3K7CL	P57077	9606.ENSP00000382828	ENSG00000156265
MAP3K7CL	P57077	9606.ENSP00000382828	ENSG00000291525
ARAF	P10398	9606.ENSP00000290277	ENSG00000078061
PIK3CD	O00329	9606.ENSP00000366563	ENSG00000171608
PIK3CB	P42338	9606.ENSP00000501150	ENSG00000051382
ETS1	P14921	9606.ENSP00000376436	ENSG00000134954
ELK1	P19419	9606.ENSP00000366182	ENSG00000126767
PIK3CG	P48736	9606.ENSP00000419260	ENSG00000105851
RPS6KA3	P51812	9606.ENSP00000368884	ENSG00000177189
RPS6KA6	Q9UK32	9606.ENSP00000262752	ENSG00000072133
RPS6KA2	Q15349	9606.ENSP00000422435	ENSG00000071242
AKT3	Q9Y243	9606.ENSP00000500582	ENSG00000117020
AKT3	Q9Y243	9606.ENSP00000500582	ENSG00000275199
RPS6KA1	Q15418	9606.ENSP00000435412	ENSG00000117676
RPS6KA1	Q15418	9606.ENSP00000435412	ENSG00000281877
RAC2	P15153	9606.ENSP00000249071	ENSG00000128340
RAC3	P60763	9606.ENSP00000304283	ENSG00000169750
AKT1	P31749	9606.ENSP00000451828	ENSG00000142208
RAC1	P63000	9606.ENSP00000348461	ENSG00000136238
HRAS	P01112	9606.ENSP00000407586	ENSG00000174775
HRAS	P01112	9606.ENSP00000407586	ENSG00000276536
MAP3K4	Q9Y6R4	9606.ENSP00000375986	ENSG00000085511
MAP2K3	P46734	9606.ENSP00000345083	ENSG00000034152
MAP2K4	P45985	9606.ENSP00000410402	ENSG00000065559
MAP2K1	Q02750	9606.ENSP00000302486	ENSG00000169032
MAP2K2	P36507	9606.ENSP00000262948	ENSG00000126934
PDPK1	O15530	9606.ENSP00000344220	ENSG00000140992
RHOC	P08134	9606.ENSP00000285735	ENSG00000155366
RHOA	P61586	9606.ENSP00000400175	ENSG00000067560
RHOB	P62745	9606.ENSP00000272233	ENSG00000143878
TIAM1	Q13009	9606.ENSP00000286827	ENSG00000156299
PIK3CA	P42336	9606.ENSP00000263967	ENSG00000121879
MAPKAPK3	Q16644	9606.ENSP00000396467	ENSG00000114738
MAPKAPK2	P49137	9606.ENSP00000356070	ENSG00000162889
PIK3C3	Q8NEB9	9606.ENSP00000262039	ENSG00000078142
RAF1	P04049	9606.ENSP00000401888	ENSG00000132155
SOS1	Q07889	9606.ENSP00000384675	ENSG00000115904
SOS2	Q07890	9606.ENSP00000216373	ENSG00000100485
EXOC2	Q96KP1	9606.ENSP00000230449	ENSG00000112685
RALA	P11233	9606.ENSP00000005257	ENSG00000006451
RALB	P11234	9606.ENSP00000272519	ENSG00000144118
SHC1	P29353	9606.ENSP00000401303	ENSG00000160691
SRF	P11831	9606.ENSP00000265354	ENSG00000112658
PLD1	Q13393	9606.ENSP00000342793	ENSG00000075651
PLD2	O14939	9606.ENSP00000263088	ENSG00000129219
CDC42	P60953	9606.ENSP00000497733	ENSG00000070831
MAPK9	P45984	9606.ENSP00000394560	ENSG00000050748
MAPK8	P45983	9606.ENSP00000378974	ENSG00000107643
NRAS	P01111	9606.ENSP00000358548	ENSG00000213281
PAK1	Q13153	9606.ENSP00000278568	ENSG00000149269
MAPK1	P28482	9606.ENSP00000215832	ENSG00000100030
MAP2K7	O14733	9606.ENSP00000381070	ENSG00000076984
PAK3	O75914	9606.ENSP00000353864	ENSG00000077264
RALGDS	Q12967	9606.ENSP00000361120	ENSG00000160271
PAK2	Q13177	9606.ENSP00000314067	ENSG00000180370
MAPK3	P27361	9606.ENSP00000263025	ENSG00000102882
MAP2K6	P52564	9606.ENSP00000468348	ENSG00000108984
JUN	P05412	9606.ENSP00000360266	ENSG00000177606
MAP3K1	Q13233	9606.ENSP00000382423	ENSG00000095015
STAT1	P42224	9606.ENSP00000354394	ENSG00000115415
STAT3	P40763	9606.ENSP00000264657	ENSG00000168610
BRAF	P15056	9606.ENSP00000419060	ENSG00000157764
MAPK14	Q16539	9606.ENSP00000229795	ENSG00000112062
MAPK12	P53778	9606.ENSP00000215659	ENSG00000188130
MAPK13	O15264	9606.ENSP00000211287	ENSG00000156711
MAPK10	P53779	NA	ENSG00000109339
MAPK11	Q15759	9606.ENSP00000333685	ENSG00000185386
GRB2	P62993	9606.ENSP00000376345	ENSG00000177885
KRAS	P01116	9606.ENSP00000256078	ENSG00000133703
RGL1	Q9NZL6	9606.ENSP00000303192	ENSG00000143344
RGL2	O15211	9606.ENSP00000420211	ENSG00000206282
RGL2	O15211	9606.ENSP00000420211	ENSG00000224841
RGL2	O15211	9606.ENSP00000420211	ENSG00000228736
RGL2	O15211	9606.ENSP00000420211	ENSG00000237825
RGL2	O15211	9606.ENSP00000420211	ENSG00000237441
