Interactor1	Interactor2	Flows	Intersection
FHL1	EP300	0.00454389611502775	True
FHL1	SRF	0.06688409368504511	False
EP300	S100A4	0.00454389611502775	True
SRF	DMD	0.06688409368504511	False
VIM	T	0.07142806122813408	True
SYNE2	BIN1	0.07142806122813408	False
BIN1	MYC	0.07142806122813408	False
MAOB	T	0.07142806122813408	True
EPB41L3	T	0.07142806122813408	True
S100A4	T	0.004543967543088979	True
EMD	CTNNB1	0.07142806122813408	False
CTNNB1	VIM	0.07142806122813408	False
CTNNB1	SATB1	0.07142806122813408	False
SGCG	FLNC	0.07142806122813408	True
FLNC	USP25	0.07142806122813408	False
FLNC	INPPL1	0.07142806122813408	True
DNAJB6	BRMS1	0.07142806122813408	True
BRMS1	HDAC2	0.07142806122813408	False
LGALS3BP	T	0.07142806122813408	True
DMD	T	0.06688409368504511	True
SPARC	T	0.07142806122813408	True
TRIM32	TP53	0.07142806122813408	True
TP53	GPNMB	0.07142806122813408	True
MYOT	FLNC	0.07142806122813408	False
ANXA11	T	0.07142806122813408	True
USP25	SYK	0.07142806122813408	False
INPPL1	INSR	0.07142806122813408	False
SYNE1	DISC1	0.07142806122813408	True
DISC1	ATF5	0.07142806122813408	False
GPNMB	T	0.07142806122813408	True
MYC	HSA-MIR-122	0.019896715023464122	False
MYC	HSA-MIR-29A	0.017525446246812522	False
MYC	HSA-MIR-29B	0.015109606359954572	False
MYC	HSA-MIR-29C	0.01889622216984164	False
HSA-MIR-122	ANXA11	0.07142806122813408	False
HSA-MIR-122	CLIC4	0.07142806122813408	False
HSA-MIR-29A	COL3A1	0.028662009557074593	False
HSA-MIR-29B	COL3A1	0.02386975807315662	False
HSA-MIR-29C	COL3A1	0.01889622216984164	False
IGFBP4	T	0.07142806122813408	True
COL6A1	PDIA3	0.07142806122813408	False
PDIA3	STAT3	0.07142806122813408	False
HNRNPDL	ERG	0.07142806122813408	False
ERG	EPB41L3	0.07142806122813408	False
SYK	SP1	0.07142806122813408	False
TTN	TRIM63	0.07142806122813408	False
TRIM63	HSPA4	0.07142806122813408	False
HSPA4	RELA	0.07142806122813408	False
RUNX1	T	0.07142806122813408	True
LMNA	CTNNB1	0.07142806122813408	False
ATF5	CEBPA	0.07142806122813408	False
COL1A2	T	0.07142806122813408	True
SP1	MAOB	0.07142806122813408	True
SP1	IGFBP4	0.07142806122813408	True
INSR	SMAD2	0.07142806122813408	False
STAT3	LGALS3BP	0.07142806122813408	False
SATB1	SPARC	0.07142806122813408	False
COL3A1	T	0.07142806122813408	True
CEBPA	HSA-MIR-122	0.05153134620466997	False
CEBPA	HSA-MIR-29A	0.01113656331026207	False
CEBPA	HSA-MIR-29B	0.008760151713202049	False
CLIC4	T	0.07142806122813408	True
RELA	BGN	0.07142806122813408	True
SMAD2	HSA-MIR-27A	0.07142806122813408	False
BGN	T	0.07142806122813408	True
DAG1	GRB2	0.07142806122813408	False
GRB2	PTPN1	0.07142806122813408	False
HDAC2	COL1A2	0.07142806122813408	False
HSA-MIR-27A	RUNX1	0.07142806122813408	False
PTPN1	HSA-MIR-122	0.07142806122813408	False
PLEC	SP1	0.07142806122813408	False
S	FHL1	0.07142806122813408	True
S	SYNE2	0.07142806122813408	True
S	EMD	0.07142806122813408	True
S	SGCG	0.07142806122813408	True
S	DNAJB6	0.07142806122813408	True
S	TRIM32	0.07142806122813408	True
S	MYOT	0.07142806122813408	True
S	SYNE1	0.07142806122813408	True
S	COL6A1	0.07142806122813408	True
S	HNRNPDL	0.07142806122813408	True
S	TTN	0.07142806122813408	True
S	LMNA	0.07142806122813408	True
S	DAG1	0.07142806122813408	True
S	PLEC	0.07142806122813408	True
