Interactor1	Interactor2	Flows	Intersection
LMNA	CTCF	0.076190476190476	False
CTCF	hsa-mir-122	0.076190476190476	False
EGFR	S100A4	0.06190476190476191	False
S100A4	T	0.06666666666666667	True
EP300	COL1A2	0.06666666666666667	False
EP300	S100A4	0.004761904761904759	True
COL1A2	T	0.06666666666666667	True
HMGA1	TP53	0.009523809523809518	False
HMGA1	hsa-mir-29a	0.06190476190476191	False
TP53	GPNMB	0.06666666666666667	True
hsa-mir-29a	SPARC	0.06190476190476191	False
GPNMB	T	0.06666666666666667	True
SP1	IGFBP4	0.06666666666666667	True
SP1	MAOB	0.004761904761904759	True
IGFBP4	T	0.06666666666666667	True
MAOB	T	0.06666666666666667	True
FHL1	EP300	0.07142857142857142	True
VIM	T	0.06666666666666667	True
ACTN1	ITGB1	0.06190476190476191	False
ACTN1	CEBPA	0.009523809523809518	False
ITGB1	LGALS3BP	0.06666666666666667	False
CEBPA	hsa-mir-122	0.009523809523809518	False
EMD	EGF	0.07142857142857142	False
EGF	SP1	0.07142857142857142	False
DNAJB6	BRMS1	0.033333333333333354	True
DNAJB6	HSPA1A	0.03809523809523807	False
BRMS1	RELA	0.033333333333333354	False
HSPA1A	SPRTN	0.03809523809523807	False
LGALS3BP	T	0.06666666666666667	True
FHL2	RUNX1	0.03809523809523811	False
FHL2	NFKB1	0.03333333333333331	False
RUNX1	T	0.06666666666666667	True
NFKB1	BGN	0.03333333333333331	False
YWHAG	EPB41L3	0.06666666666666667	False
EPB41L3	T	0.06666666666666667	True
PLEC	VIM	0.06666666666666667	False
PLEC	ETS1	0.004761904761904759	False
ETS1	TP53	0.004761904761904759	False
SPRTN	CLIC4	0.03809523809523807	False
PML	TP53	0.04285714285714287	False
PML	RUNX1	0.028571428571428553	False
MYOT	ACTN1	0.07142857142857142	False
INPPL1	EGFR	0.06190476190476191	False
RARA	MAOB	0.06190476190476191	False
RELA	BGN	0.033333333333333354	True
BGN	T	0.06666666666666667	True
DISC1	YWHAG	0.06666666666666667	False
DMD	T	0.06666666666666667	True
PDGFB	SPARC	0.004761904761904759	False
PDGFB	COL3A1	0.06666666666666667	False
SPARC	T	0.06666666666666667	True
COL3A1	T	0.06666666666666667	True
DAG1	DMD	0.06666666666666667	False
DAG1	ITGB1	0.004761904761904759	False
MAP2K4	MAP3K3	0.00952380952380974	False
MAP3K3	hsa-mir-122	0.00952380952380974	False
hsa-mir-122	ANXA11	0.06666666666666667	False
hsa-mir-122	CLIC4	0.028571428571428595	False
SYNE2	PML	0.07142857142857142	False
CLIC4	T	0.06666666666666667	True
HNRNPDL	HMGA1	0.07142857142857142	False
COL6A1	PDGFB	0.07142857142857142	False
FLNC	INPPL1	0.06190476190476191	True
FLNC	MAP2K4	0.00952380952380974	False
TTN	FHL2	0.07142857142857142	False
TRIM32	RARA	0.06190476190476191	False
TRIM32	TP53	0.009523809523809518	True
SYNE1	LMNA	0.0047619047619045785	False
SYNE1	DISC1	0.06666666666666667	True
ANXA11	T	0.06666666666666667	True
SGCG	FLNC	0.07142857142857165	True
S	DNAJB6	0.07142857142857142	True
S	TRIM32	0.07142857142857142	True
S	SGCG	0.07142857142857142	True
S	SYNE2	0.07142857142857142	True
S	TTN	0.07142857142857142	True
S	SYNE1	0.07142857142857142	True
S	EMD	0.07142857142857142	True
S	PLEC	0.07142857142857142	True
S	FHL1	0.07142857142857142	True
S	COL6A1	0.07142857142857142	True
S	HNRNPDL	0.07142857142857142	True
S	MYOT	0.07142857142857142	True
S	DAG1	0.07142857142857142	True
S	LMNA	0.07142857142857142	True
