PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
AKT1	controls-state-change-of	ARAF	PANTHER		FGF signaling pathway	panther:_INHIBITION___Akt_r8m1_r8;panther:STATE_TRANSITION_LEFT__Raf_1-RIGHT__Raf_1-_r8_56d5ed0d4aeab700fc103cbd49c4f264
AKT1	controls-state-change-of	RAF1	PANTHER		FGF signaling pathway	panther:_INHIBITION___Akt_r8m1_r8;panther:STATE_TRANSITION_LEFT__Raf_1-RIGHT__Raf_1-_r8_56d5ed0d4aeab700fc103cbd49c4f264
AKT2	controls-state-change-of	ARAF	PANTHER		FGF signaling pathway	panther:_INHIBITION___Akt_r8m1_r8;panther:STATE_TRANSITION_LEFT__Raf_1-RIGHT__Raf_1-_r8_56d5ed0d4aeab700fc103cbd49c4f264
AKT2	controls-state-change-of	RAF1	PANTHER		FGF signaling pathway	panther:_INHIBITION___Akt_r8m1_r8;panther:STATE_TRANSITION_LEFT__Raf_1-RIGHT__Raf_1-_r8_56d5ed0d4aeab700fc103cbd49c4f264
AKT3	controls-state-change-of	ARAF	PANTHER		FGF signaling pathway	panther:_INHIBITION___Akt_r8m1_r8;panther:STATE_TRANSITION_LEFT__Raf_1-RIGHT__Raf_1-_r8_56d5ed0d4aeab700fc103cbd49c4f264
AKT3	controls-state-change-of	RAF1	PANTHER		FGF signaling pathway	panther:_INHIBITION___Akt_r8m1_r8;panther:STATE_TRANSITION_LEFT__Raf_1-RIGHT__Raf_1-_r8_56d5ed0d4aeab700fc103cbd49c4f264
ARAF	controls-phosphorylation-of	MAP2K1	PANTHER		FGF signaling pathway	panther:_CATALYSIS___Raf_1_r9m1_r9_c1c1fa3bf666fc0714a6e6584e4897a6;panther:STATE_TRANSITION_LEFT__MEK1_2-RIGHT__MEK1_2-_r9_11054cb5d4fa9325c87f65e357f21435
ARAF	controls-state-change-of	MAP2K1	PANTHER		FGF signaling pathway	panther:_CATALYSIS___Raf_1_r9m1_r9_c1c1fa3bf666fc0714a6e6584e4897a6;panther:STATE_TRANSITION_LEFT__MEK1_2-RIGHT__MEK1_2-_r9_11054cb5d4fa9325c87f65e357f21435
ARAF	controls-phosphorylation-of	MAP2K2	PANTHER		FGF signaling pathway	panther:_CATALYSIS___Raf_1_r9m1_r9_c1c1fa3bf666fc0714a6e6584e4897a6;panther:STATE_TRANSITION_LEFT__MEK1_2-RIGHT__MEK1_2-_r9_11054cb5d4fa9325c87f65e357f21435
ARAF	controls-state-change-of	MAP2K2	PANTHER		FGF signaling pathway	panther:_CATALYSIS___Raf_1_r9m1_r9_c1c1fa3bf666fc0714a6e6584e4897a6;panther:STATE_TRANSITION_LEFT__MEK1_2-RIGHT__MEK1_2-_r9_11054cb5d4fa9325c87f65e357f21435
FGF10	controls-phosphorylation-of	FGFR1	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF10	controls-state-change-of	FGFR1	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF10	controls-phosphorylation-of	FGFR2	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF10	controls-state-change-of	FGFR2	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF10	controls-phosphorylation-of	FGFR3	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF10	controls-state-change-of	FGFR3	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF10	controls-phosphorylation-of	FGFR4	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF10	controls-state-change-of	FGFR4	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF11	controls-phosphorylation-of	FGFR1	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
FGF11	controls-state-change-of	FGFR1	PANTHER		FGF signaling pathway	panther:_CATALYSIS___FGF_r18m1_r18;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r17;panther:STATE_TRANSITION_LEFT__FGFR1_4-RIGHT__FGFR1_4-_r18;panther:_CATALYSIS___FGF_r17m1_r17
