NODE	uniprot
ARAF	P10398
PEBP1	P30086
PPP2R2A	P63151
FGF1	P05230
FGF3	P11487
FGF4	P08620
FGF5	P12034
FGF6	P10767
FGF7	P21781
FGF8	P55075
FGF9	P31371
PPP2R1B	P30154
PPP2R1A	P30153
AKT2	P31751
AKT3	Q9Y243
AKT1	P31749
MAP3K6	O95382
MAP3K4	Q9Y6R4
MAP3K5	Q99683
PRKCG	P05129
MAP2K3	P46734
MAP2K4	P45985
MAP2K1	Q02750
PRKCI	P41743
MAP2K2	P36507
PRKCH	P24723
PRKCB	P05771
PRKCE	Q02156
PRKCD	Q05655
FRS2	Q8WU20
PRKCA	P17252
FRS3	O43559
PRKCQ	Q04759
RAF1	P04049
SHC3	Q92529
SHC1	P29353
PRKCZ	Q05513
PLCG2	P16885
FGF20	Q9NP95
SFN	P31947
PLCG1	P19174
MAP2K7	O14733
FGF22	Q9HCT0
MAP2K6	P52564
FGF17	O60258
FGF14	Q92915
FGF18	O76093
GRAP	Q13588
FGFR4	P22455
FGF13	Q92913
FGFR3	P22607
FGF12	P61328
FGFR2	P21802
FGF11	Q92914
FGFR1	P11362
FGF10	O15520
YWHAE	P62258
YWHAB	P31946
PIK3CD	O00329
PIK3CB	P42338
PIK3C2A	O00443
PIK3CG	P48736
PIK3C2B	O00750
YWHAQ	P27348
PPP2R5E	Q16537
RAC2	P15153
RAC1	P63000
HRAS	P01112
YWHAG	P61981
RASA4B	C9J798
PPP2R5B	Q15173
PPP2R5A	Q15172
PPP2R5D	Q14738
PPP2R5C	Q13362
YWHAZ	P63104
PIK3CA	P42336
RASA4	O43374
RASA1	P20936
RASA2	Q15283
PIK3C3	Q8NEB9
SOS1	Q07889
SOS2	Q07890
PPP2CA	P67775
PPP2CB	P62714
MAPK9	P45984
NRAS	P01111
MAPK8	P45983
MAPK1	P28482
MAPK3	P27361
MAP3K2	Q9Y2U5
MAP3K3	Q99759
SPRY4	Q9C004
MAPK14	Q16539
MAPK12	P53778
MAPK13	O15264
MAPK10	P53779
MAPK11	Q15759
PPP2R2C	Q9Y2T4
PPP2R2B	Q00005
PPP2R2D	Q66LE6
SPRY3	O43610
SPRY2	O43597
SPRY1	O43609
PTPN6	P29350
