id	uniprot	string	ensembl
ATF1	P18846	9606.ENSP00000262053	ENSG00000123268
ATF2	P15336	9606.ENSP00000264110	ENSG00000115966
TNF	P01375	9606.ENSP00000398698	ENSG00000204490
TNF	P01375	9606.ENSP00000398698	ENSG00000206439
TNF	P01375	9606.ENSP00000398698	ENSG00000228321
TNF	P01375	9606.ENSP00000398698	ENSG00000228849
TNF	P01375	9606.ENSP00000398698	ENSG00000230108
TNF	P01375	9606.ENSP00000398698	ENSG00000223952
TNF	P01375	9606.ENSP00000398698	ENSG00000232810
AKT2	P31751	9606.ENSP00000375892	ENSG00000105221
AKT3	Q9Y243	9606.ENSP00000500582	ENSG00000117020
AKT3	Q9Y243	9606.ENSP00000500582	ENSG00000275199
TNFSF10	P50591	9606.ENSP00000241261	ENSG00000121858
AKT1	P31749	9606.ENSP00000451828	ENSG00000142208
MAP3K5	Q99683	9606.ENSP00000351908	ENSG00000197442
MAP2K3	P46734	9606.ENSP00000345083	ENSG00000034152
PRKCG	P05129	9606.ENSP00000263431	ENSG00000126583
MAP2K4	P45985	9606.ENSP00000410402	ENSG00000065559
DAXX	Q9UER7	9606.ENSP00000266000	ENSG00000204209
DAXX	Q9UER7	9606.ENSP00000266000	ENSG00000206206
DAXX	Q9UER7	9606.ENSP00000266000	ENSG00000206279
DAXX	Q9UER7	9606.ENSP00000266000	ENSG00000231617
DAXX	Q9UER7	9606.ENSP00000266000	ENSG00000227046
PRKCH	P24723	9606.ENSP00000329127	ENSG00000027075
ENDOG	Q14249	9606.ENSP00000361725	ENSG00000167136
PRKCB	P05771	9606.ENSP00000496129	ENSG00000166501
PRKCE	Q02156	9606.ENSP00000306124	ENSG00000171132
PRKCD	Q05655	9606.ENSP00000331602	ENSG00000163932
PRKCA	P17252	9606.ENSP00000408695	ENSG00000154229
MADD	Q8WXG6	9606.ENSP00000310933	ENSG00000110514
PRKCQ	Q04759	9606.ENSP00000263125	ENSG00000065675
ATF7	P17544	9606.ENSP00000399465	ENSG00000170653
TP53	P04637	9606.ENSP00000269305	ENSG00000141510
ATF6	P18850	9606.ENSP00000356919	ENSG00000118217
ATF3	P18847	9606.ENSP00000344352	ENSG00000162772
ATF4	P18848	9606.ENSP00000336790	ENSG00000128272
DIABLO	Q9NR28	9606.ENSP00000398495	ENSG00000184047
CREM	Q03060	9606.ENSP00000265372	ENSG00000095794
BCL2L10	Q9HD36	9606.ENSP00000453562	ENSG00000137875
BAG4	O95429	9606.ENSP00000287322	ENSG00000156735
BCL2L11	O43521	9606.ENSP00000376943	ENSG00000153094
BAG3	O95817	9606.ENSP00000358081	ENSG00000151929
RIPK1	Q13546	9606.ENSP00000259808	ENSG00000137275
FADD	Q13158	9606.ENSP00000301838	ENSG00000168040
MAP2K7	O14733	9606.ENSP00000381070	ENSG00000076984
MCL1	Q07820	9606.ENSP00000358022	ENSG00000143384
HSPA8	P11142	9606.ENSP00000437125	ENSG00000109971
JUN	P05412	9606.ENSP00000360266	ENSG00000177606
CRADD	P78560	9606.ENSP00000439068	ENSG00000169372
HSPA5	P11021	9606.ENSP00000324173	ENSG00000044574
HSPA6	P17066	9606.ENSP00000310219	ENSG00000173110
TNFRSF10C	O14798	9606.ENSP00000349324	ENSG00000173535
EIF2AK2	P19525	9606.ENSP00000233057	ENSG00000055332
TNFRSF10B	O14763	9606.ENSP00000276431	ENSG00000120889
TNFRSF10A	O00220	9606.ENSP00000221132	ENSG00000104689
HSPA2	P54652	9606.ENSP00000378199	ENSG00000126803
EIF2S1	P05198	9606.ENSP00000256383	ENSG00000134001
IGF2R	P11717	9606.ENSP00000349437	ENSG00000197081
NFKB1	P19838	9606.ENSP00000226574	ENSG00000109320
TNFRSF10D	Q9UBN6	9606.ENSP00000310263	ENSG00000173530
NFKB2	Q00653	9606.ENSP00000358983	ENSG00000077150
NFKBIA	P25963	9606.ENSP00000216797	ENSG00000100906
BCL2	P10415	9606.ENSP00000381185	ENSG00000171791
REL	Q04864	9606.ENSP00000295025	ENSG00000162924
CYCS	P99999	9606.ENSP00000307786	ENSG00000172115
MAP3K14	Q99558	9606.ENSP00000482657	ENSG00000006062
BCL2L2	Q92843	9606.ENSP00000250405	ENSG00000129473
BCL2L2	Q92843	9606.ENSP00000250405	ENSG00000258643
BCL2L1	Q07817	9606.ENSP00000365230	ENSG00000171552
TRADD	Q15628	9606.ENSP00000341268	ENSG00000102871
PIK3CD	O00329	9606.ENSP00000366563	ENSG00000171608
FASLG	P48023	9606.ENSP00000356694	ENSG00000117560
PIK3CB	P42338	9606.ENSP00000501150	ENSG00000051382
PIK3CG	P48736	9606.ENSP00000419260	ENSG00000105851
CASP9	P55211	9606.ENSP00000330237	ENSG00000132906
IKBKB	O14920	9606.ENSP00000430684	ENSG00000104365
CASP7	P55210	9606.ENSP00000358327	ENSG00000165806
CASP8	Q14790	9606.ENSP00000351273	ENSG00000064012
AIFM1	O95831	9606.ENSP00000287295	ENSG00000156709
CASP10	Q92851	9606.ENSP00000286186	ENSG00000003400
