PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
AKT1	controls-state-change-of	CASP9	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Caspase9-RIGHT__Caspase9-_re28;panther:_INHIBITION___Akt_PKB_re28m1_re28
AKT1	controls-state-change-of	NOS3	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Akt_PKB_r70m1_r70;panther:STATE_TRANSITION_LEFT__eNOS-_Ca2_PLUS_-RIGHT__Complex__eNOS_Ca2_PLUS__endsuper_-_r70
ARAF	controls-state-change-of	MAP2K1	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Raf_r48m1_r48;panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r48
ARAF	controls-state-change-of	MAP2K2	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Raf_r48m1_r48;panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r48
BRAF	controls-state-change-of	MAP2K1	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Raf_r48m1_r48;panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r48
BRAF	controls-state-change-of	MAP2K2	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Raf_r48m1_r48;panther:STATE_TRANSITION_LEFT__MEK-RIGHT__MEK-_r48
HRAS	controls-state-change-of	ARAF	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Raf-RIGHT__Raf-_r47;panther:_CATALYSIS___Ras_r47m1_r47
HRAS	controls-state-change-of	BRAF	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Raf-RIGHT__Raf-_r47;panther:_CATALYSIS___Ras_r47m1_r47
HRAS	controls-state-change-of	RAF1	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Raf-RIGHT__Raf-_r47;panther:_CATALYSIS___Ras_r47m1_r47
KDR	controls-state-change-of	MAPK14	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__p38MAPK-RIGHT__p38MAPK-_r63;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r63m1_r63
KDR	controls-state-change-of	PIK3C2A	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3C2B	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3C3	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3CA	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3CB	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3CD	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3CG	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3R1	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3R2	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PIK3R3	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PI3K-RIGHT__PI3K-_r66;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r66m1_r66
KDR	controls-state-change-of	PLCG1	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PLC_gamma-RIGHT__PLC_gamma-_r58;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r58m1_r58
KDR	controls-state-change-of	PLCG2	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__PLC_gamma-RIGHT__PLC_gamma-_r58;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r58m1_r58
KDR	controls-state-change-of	PTK2	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__FAK-RIGHT__FAK-_r62;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r62m1_r62
KDR	controls-state-change-of	SH2D2A	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r59m1_r59;panther:STATE_TRANSITION_LEFT__VRAP-RIGHT__VRAP-_r59
KDR	controls-state-change-of	SHC2	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Sck-RIGHT__Sck-_r60;panther:_CATALYSIS___Complex__VEGFR_2_VEGF__r60m1_r60
KDR	in-complex-with	VEGFA	PANTHER		VEGF signaling pathway	panther:_Complex__VEGFR_2_VEGF__s44_a63_
MAP2K1	controls-state-change-of	MAPK1	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Erk-RIGHT__Erk-_r49;panther:_CATALYSIS___MEK_r49m1_r49
MAP2K1	controls-state-change-of	MAPK3	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Erk-RIGHT__Erk-_r49;panther:_CATALYSIS___MEK_r49m1_r49
MAP2K2	controls-state-change-of	MAPK1	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Erk-RIGHT__Erk-_r49;panther:_CATALYSIS___MEK_r49m1_r49
MAP2K2	controls-state-change-of	MAPK3	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__Erk-RIGHT__Erk-_r49;panther:_CATALYSIS___MEK_r49m1_r49
MAPK14	controls-state-change-of	MAPKAPK2	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__MAPKAPK2_3-RIGHT__MAPKAPK2_3-_r64;panther:_CATALYSIS___p38MAPK_r64m1_r64
MAPK14	controls-state-change-of	MAPKAPK3	PANTHER		VEGF signaling pathway	panther:STATE_TRANSITION_LEFT__MAPKAPK2_3-RIGHT__MAPKAPK2_3-_r64;panther:_CATALYSIS___p38MAPK_r64m1_r64
MAPK1	controls-state-change-of	ETS1	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Erk_r54m1_r54;panther:STATE_TRANSITION_LEFT__Ets-RIGHT__Ets-_r54
MAPK1	controls-state-change-of	HIF1A	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Erk_r53m1_r53;panther:STATE_TRANSITION_LEFT__HIF_1-RIGHT__HIF_1-_r53
MAPK1	controls-state-change-of	PLA2G4A	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Erk_r71m1_r71;panther:STATE_TRANSITION_LEFT__cPLA2-_Ca2_PLUS_-RIGHT__Complex__cPLA2_endsub_Ca2_PLUS__endsuper_-_r71
MAPK3	controls-state-change-of	ETS1	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Erk_r54m1_r54;panther:STATE_TRANSITION_LEFT__Ets-RIGHT__Ets-_r54
MAPK3	controls-state-change-of	HIF1A	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Erk_r53m1_r53;panther:STATE_TRANSITION_LEFT__HIF_1-RIGHT__HIF_1-_r53
MAPK3	controls-state-change-of	PLA2G4A	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___Erk_r71m1_r71;panther:STATE_TRANSITION_LEFT__cPLA2-_Ca2_PLUS_-RIGHT__Complex__cPLA2_endsub_Ca2_PLUS__endsuper_-_r71
MAPKAPK2	controls-state-change-of	CRYAA	PANTHER		VEGF signaling pathway	panther:_CATALYSIS___MAPKAPK2_3_r65m1_r65;panther:STATE_TRANSITION_LEFT__HSP27-RIGHT__HSP27-_r65
