NODE	uniprot
ATF1	P18846
ATF2	P15336
TNF	P01375
AKT2	P31751
AKT3	Q9Y243
TNFSF10	P50591
AKT1	P31749
MAP3K5	Q99683
MAP2K3	P46734
PRKCG	P05129
MAP2K4	P45985
DAXX	Q9UER7
PRKCH	P24723
ENDOG	Q14249
PRKCB	P05771
PRKCE	Q02156
PRKCD	Q05655
PRKCA	P17252
MADD	Q8WXG6
PRKCQ	Q04759
ATF7	P17544
TP53	P04637
ATF6	P18850
ATF3	P18847
ATF4	P18848
DIABLO	Q9NR28
CREM	Q03060
BCL2L10	Q9HD36
BAG4	O95429
BCL2L11	O43521
BAG3	O95817
RIPK1	Q13546
FADD	Q13158
MAP2K7	O14733
MCL1	Q07820
HSPA8	P11142
JUN	P05412
CRADD	P78560
HSPA5	P11021
HSPA6	P17066
TNFRSF10C	O14798
EIF2AK2	P19525
TNFRSF10B	O14763
TNFRSF10A	O00220
HSPA2	P54652
EIF2S1	P05198
IGF2R	P11717
NFKB1	P19838
TNFRSF10D	Q9UBN6
NFKB2	Q00653
NFKBIA	P25963
BCL2	P10415
REL	Q04864
CYCS	P99999
MAP3K14	Q99558
BCL2L2	Q92843
BCL2L1	Q07817
TRADD	Q15628
PIK3CD	O00329
FASLG	P48023
PIK3CB	P42338
PIK3CG	P48736
CASP9	P55211
IKBKB	O14920
CASP7	P55210
CASP8	Q14790
AIFM1	O95831
CASP10	Q92851
CASP3	P42574
BOK	Q9UMX3
MAP4K2	Q12851
CHUK	O15111
APAF1	O14727
TRAF2	Q12933
FOS	P01100
TNFRSF1B	P20333
TNFRSF1A	P19438
PIK3CA	P42336
LTA	P01374
TMBIM6	P55061
LTB	Q06643
BIRC2	Q13490
JDP2	Q8WYK2
BIRC3	Q13489
ATF6B	Q99941
XIAP	P98170
RELA	Q04206
RELB	Q01201
MAPK9	P45984
MAPK8	P45983
MAPK1	P28482
BAK1	Q16611
BCL2L2-PABPN1	Q92843
MAP4K3	Q8IVH8
MAPK3	P27361
MAP4K4	O95819
MAP3K1	Q13233
HSPA1L	P34931
BIK	Q13323
GZMB	P10144
CFLAR	O15519
GZMH	P20718
MAPK10	P53779
PRKRA	O75569
BAX	Q07812
FAS	P25445
HSPA1B	P0DMV9
HSPA1A	P0DMV8
