NODE	uniprot
IL21	Q9HBE4
GSK3B	P49841
CDKN1A	P38936
CXCL8	P10145
SPI1	P17947
CDKN1B	P46527
IRS1	P35568
ARAF	P10398
IL5RA	Q01344
IRS2	Q9Y4H2
PIK3CB	P42338
SLA2	Q9H6Q3
ELK1	P19419
ELK3	P41970
ELK4	P28324
IKBKB	O14920
SPIC	Q8N5J4
RPS6KA3	P51812
RPS6KA6	Q9UK32
AKT2	P31751
RPS6KA2	Q15349
MYC	P01106
AKT3	Q9Y243
RPS6KA1	Q15418
AKT1	P31749
IL13RA2	Q14627
JAK3	P52333
IL6R	P08887
IL13RA1	P78552
IL10	P22301
IL15RA	Q13261
IL11	P20809
IL4R	P24394
CHUK	O15111
IL15	P40933
IL11RA	Q14626
PDPK1	O15530
IL13	P35225
IL18	Q14116
FOS	P01100
IL1A	P01583
PIK3CA	P42336
IL23A	Q9NPF7
RASA1	P20936
IL3RA	P26951
MAPKAPK2	P49137
IL6ST	P40189
SOS1	Q07889
RAF1	P04049
SOS2	Q07890
SHC1	P29353
SRF	P11831
IL20RA	Q9UHF4
FOXO3	O43524
NRAS	P01111
MAPK7	Q13164
CXCR1	P25024
MKNK1	Q9BUB5
CXCR2	P25025
MKNK2	Q9HBH9
STAT4	Q14765
MAPK1	P28482
STAT6	P42226
MAPK6	Q16659
IL12RB1	P42701
MAPK3	P27361
IL12RB2	Q99665
STAT5A	P42229
STAT5B	P51692
STAT1	P42224
IL10RB	Q08334
NOS3	P29474
STAT2	P52630
IL10RA	Q13651
STAT3	P40763
BRAF	P15056
MAPK15	Q8TD08
IL2	P60568
MTOR	P42345
IL4	P05112
IL6	P05231
IL5	P05113
IL7	P13232
IL2RA	P01589
IL2RB	P14784
IL9	P15248
