GeneSymbol	UniprotID	Dependency
AAMP	AAMP_HUMAN	0.9218663551801596
AARS1	SYAC_HUMAN	0.999964054876852
AARS2	SYAM_HUMAN	0.6733075503382403
AATF	AATF_HUMAN	0.94958117848121
ABCB7	ABCB7_HUMAN	0.9826596388492864
ABCE1	ABCE1_HUMAN	1.0
ABCF1	ABCF1_HUMAN	0.853465862024529
ABT1	ABT1_HUMAN	0.9601734230962284
ACAD9	ACAD9_HUMAN	0.6233595743185232
ACIN1	ACINU_HUMAN	0.9151806382738492
ACO2	ACON_HUMAN	0.9999999999996744
ACTG1	ACTG_HUMAN	0.965114541471404
ACTL6A	ACL6A_HUMAN	1.0
ACTR1A	ACTZ_HUMAN	0.9066279361024236
ACTR2	ARP2_HUMAN	0.9621363555705924
ACTR6	ARP6_HUMAN	0.7350009968093855
ACTR8	ARP8_HUMAN	0.9478103552151456
ADSL	PUR8_HUMAN	0.6262473418530781
AFG2A	AFG2A_HUMAN	0.9534375535462176
AFG2B	AFG2B_HUMAN	0.9797802115313576
AFG3L2	AFG32_HUMAN	0.9875471904752664
AHCTF1	ELYS_HUMAN	0.9242936918721508
AHCY	SAHH_HUMAN	0.9320297616060864
AIRIM	AIRIM_HUMAN	0.9999645539591808
AK4	KAD4_HUMAN	0.569566304626218
AKIRIN2	AKIR2_HUMAN	0.8592246323654533
ALDOA	ALDOA_HUMAN	0.8492000454038525
ALG1	ALG1_HUMAN	0.9795425319197548
ALG11	ALG11_HUMAN	0.7753695530847927
ALG13	ALG13_HUMAN	0.8419800823643283
ALG14	ALG14_HUMAN	0.6735854692152156
ALG2	ALG2_HUMAN	1.0
ALYREF	THOC4_HUMAN	0.9996685008189952
AMD1	DCAM_HUMAN	0.5190996700319204
ANAPC1	APC1_HUMAN	0.975178440952464
ANAPC10	APC10_HUMAN	1.0
ANAPC11	APC11_HUMAN	0.9973027271482542
ANAPC2	ANC2_HUMAN	0.9809489671471556
ANAPC4	APC4_HUMAN	0.9967677072597272
ANAPC5	APC5_HUMAN	0.9963872552256956
ANKLE2	ANKL2_HUMAN	1.0
ANLN	ANLN_HUMAN	0.939419205054537
AP2M1	AP2M1_HUMAN	0.943862235592057
AP2S1	AP2S1_HUMAN	0.5719571750067656
AQP7	AQP7_HUMAN	0.8335369526617716
AQR	AQR_HUMAN	0.972206606190653
ARCN1	COPD_HUMAN	0.9758216510505852
ARIH1	ARI1_HUMAN	1.0
ARL13B	AR13B_HUMAN	0.5916746900820293
ARL16	ARL16_HUMAN	0.6365335085231204
ARL2	ARL2_HUMAN	0.9864182675073284
ARMC10	ARM10_HUMAN	0.5215656432960861
ASCC3	ASCC3_HUMAN	0.7307611874480042
ASH2L	ASH2L_HUMAN	0.5474235823203351
ASNS	ASNS_HUMAN	0.6786935603332959
ATP1A1	AT1A1_HUMAN	0.9785178366613998
ATP1B3	AT1B3_HUMAN	0.6350175661353328
ATP2A2	AT2A2_HUMAN	0.9999610564787668
ATP5F1A	ATPA_HUMAN	0.997698903831586
ATP5F1B	ATPB_HUMAN	0.9891805645721914
ATP5F1C	ATPG_HUMAN	0.9948838044889244
ATP5F1D	ATPD_HUMAN	0.9925137652469253
ATP5MC1	AT5G1_HUMAN	0.506169059288329
ATP5MG	ATP5L_HUMAN	0.8057159072505479
ATP5PB	AT5F1_HUMAN	0.9830481309131855
ATP5PD	ATP5H_HUMAN	0.8990888397660698
ATP5PF	ATP5J_HUMAN	0.7631448967761287
ATP6AP1	VAS1_HUMAN	0.966553734896032
ATP6AP2	RENR_HUMAN	0.8797306685512637
ATP6V0B	VATO_HUMAN	0.9705183087302734
ATP6V0C	VATL_HUMAN	0.9997576612123836
ATP6V0D1	VA0D1_HUMAN	0.9664502065120332
ATP6V1A	VATA_HUMAN	0.999914532886634
ATP6V1B2	VATB2_HUMAN	0.9999559438306668
ATP6V1C1	VATC1_HUMAN	0.9879346306996566
ATP6V1D	VATD_HUMAN	0.8369899096072303
ATP6V1E1	VATE1_HUMAN	0.9974905822337128
ATP6V1F	VATF_HUMAN	0.9765562315563951
ATP6V1G1	VATG1_HUMAN	0.917056381063206
ATP6V1H	VATH_HUMAN	0.8893776923862471
ATR	ANTR1_HUMAN	0.9874723669030392
ATXN10	ATX10_HUMAN	0.7040089574503581
AURKA	AURKA_HUMAN	0.9750817708738452
AURKAIP1	AKIP_HUMAN	0.7506467828977047
AURKB	AURKB_HUMAN	1.0
BAK1	BAK_HUMAN	0.5534033003275277
BANP	BANP_HUMAN	0.5669935426806597
BARD1	BARD1_HUMAN	0.775040114584296
BCAS2	SPF27_HUMAN	0.9979468478862582
