NODE1	NODE2
Q9Y297	P08151
Q9Y297	P10071
Q9Y297	Q9UMX1
Q92793	P08151
Q92793	P10071
P48729	P08151
P48729	P10071
Q8N752	P08151
Q8N752	P10071
Q8N752	Q9UMX1
P48729	Q9UMX1
P49674	P08151
P49674	P10071
P49674	Q9UMX1
Q9UKB1	P08151
Q9UKB1	P10071
Q9UKB1	Q9UMX1
P08151	Q99835
P08151	Q9NRP7
P08151	Q9UMX1
P10071	Q99835
P10071	Q9NRP7
P10071	Q9UMX1
P49841	P08151
P49841	P10071
P49841	Q9UMX1
P10644	P08151
P10644	P08151
P10644	P10071
P10644	P10071
P10644	Q9UMX1
P31321	P08151
P31321	P08151
P31321	P10071
P31321	P10071
P31321	Q9UMX1
P13861	P08151
P13861	P08151
P13861	P10071
P13861	P10071
P13861	Q9UMX1
P31323	P08151
P31323	P08151
P31323	P10071
P31323	P10071
P31323	Q9UMX1
Q13635	P08151
Q13635	P10071
Q13635	Q15465
Q13635	Q99835
Q13635	Q99835
Q13635	Q9NRP7
Q13635	Q9NRP7
Q13635	Q9UMX1
Q15465	P08151
Q15465	P10071
Q15465	Q99835
Q15465	Q99835
Q15465	Q9NRP7
Q15465	Q9NRP7
Q15465	Q9UMX1
Q99835	P08151
Q99835	P10071
Q99835	Q9NRP7
Q99835	Q9UMX1
Q9NRP7	P08151
Q9NRP7	P10071
Q9NRP7	Q9UMX1
O95071	Q9Y297
O95071	Q9UKB1
O95071	P08151
O95071	P10071
O95071	Q9UMX1
