From	Entry	Reviewed
ENSG00000001167	P23511	reviewed
ENSG00000004848	Q96QS3	reviewed
ENSG00000005073	P31270	reviewed
ENSG00000005102	P50221	reviewed
ENSG00000005436	P16383	reviewed
ENSG00000005513	P57073	reviewed
ENSG00000005801	O14628	reviewed
ENSG00000005889	P17010	reviewed
ENSG00000006047	Q9Y2T7	reviewed
ENSG00000006194	O14978	reviewed
ENSG00000006377	P56179	reviewed
ENSG00000006468	P50549	reviewed
ENSG00000006704	Q9UHL9	reviewed
ENSG00000007372	P26367	reviewed
ENSG00000007866	Q99594	reviewed
ENSG00000007968	Q14209	reviewed
ENSG00000008083	Q92833	reviewed
ENSG00000008196	Q92481	reviewed
ENSG00000008197	Q7Z6R9	reviewed
ENSG00000008441	Q14938	reviewed
ENSG00000009307	O75534	reviewed
ENSG00000009709	P23759	reviewed
ENSG00000009950	Q9NP71	reviewed
ENSG00000010030	Q9Y603	reviewed
ENSG00000010244	O43670	reviewed
ENSG00000010539	P98182	reviewed
ENSG00000010818	P31629	reviewed
ENSG00000011451	O95785	reviewed
ENSG00000011590	Q9Y2Y4	reviewed
ENSG00000012223	P02788	reviewed
ENSG00000012504	Q96RI1	reviewed
ENSG00000016082	P61371	reviewed
ENSG00000018869	Q96NG8	reviewed
ENSG00000019485	Q9NQV5	reviewed
ENSG00000019549	O43623	reviewed
ENSG00000020256	Q9NTW7	reviewed
ENSG00000020633	Q13761	reviewed
ENSG00000025156	Q03933	reviewed
ENSG00000025434	Q13133	reviewed
ENSG00000028277	P09086	reviewed
ENSG00000029153	Q8WYA1	reviewed
ENSG00000029363	Q9NYF8	reviewed
ENSG00000029639	Q8WVM0	reviewed
ENSG00000029993	O15347	reviewed
ENSG00000030419	Q9UKS7	reviewed
ENSG00000032219	P29374	reviewed
ENSG00000033800	O75925	reviewed
ENSG00000036549	Q8IYH5	reviewed
ENSG00000037965	P31273	reviewed
ENSG00000039600	O94993	reviewed
ENSG00000041988	Q8WTV1	reviewed
ENSG00000043039	Q9UMQ3	reviewed
ENSG00000043355	O95409	reviewed
ENSG00000048405	Q2TB10	reviewed
ENSG00000049618	Q8NFD5	reviewed
ENSG00000049768	Q9BZS1	reviewed
ENSG00000050344	Q9Y4A8	reviewed
ENSG00000052850	Q9H161	reviewed
ENSG00000053254	O00409	reviewed
ENSG00000054267	Q4LE39	reviewed
ENSG00000054598	Q12948	reviewed
ENSG00000055609	Q8NEZ4	reviewed
ENSG00000056277	Q8ND82	reviewed
ENSG00000057657	O75626	reviewed
ENSG00000057935	Q9BTC8	reviewed
ENSG00000059378	Q9H0J9	reviewed
ENSG00000059728	Q05195	reviewed
ENSG00000060138	P16989	reviewed
ENSG00000060566	Q68CJ9	reviewed
ENSG00000061455	Q9NQX0	reviewed
ENSG00000062194	Q86WP2	reviewed
ENSG00000062370	Q9UJU3	reviewed
ENSG00000063438	A0A494BZY4	unreviewed
ENSG00000063438	A0A7I2PK40	unreviewed
ENSG00000063438	D6RE68	unreviewed
ENSG00000063438	E5RFG4	unreviewed
ENSG00000063438	E5RGQ2	unreviewed
ENSG00000063438	E5RHE0	unreviewed
ENSG00000063438	G3V143	unreviewed
ENSG00000063438	H0YA43	unreviewed
ENSG00000063515	O15499	reviewed
ENSG00000063587	Q9NSD4	reviewed
ENSG00000064195	O60479	reviewed
ENSG00000064218	Q9NQL9	reviewed
ENSG00000064489	H3BNR1	unreviewed
ENSG00000064490	O14593	reviewed
ENSG00000064835	P28069	reviewed
ENSG00000064933	P54277	reviewed
ENSG00000064961	Q9P0W2	reviewed
ENSG00000065029	P36508	reviewed
ENSG00000065970	Q9P0K8	reviewed
ENSG00000065978	P67809	reviewed
ENSG00000066136	Q13952	reviewed
ENSG00000066336	P17947	reviewed
ENSG00000066422	O95625	reviewed
ENSG00000066827	Q9P243	reviewed
ENSG00000067066	P23497	reviewed
ENSG00000067082	Q99612	reviewed
ENSG00000067646	P08048	reviewed
ENSG00000067955	Q13951	reviewed
ENSG00000068305	Q02078	reviewed
ENSG00000068323	P19532	reviewed
ENSG00000069011	P78337	reviewed
ENSG00000069667	P35398	reviewed
ENSG00000069812	Q9Y543	reviewed
ENSG00000070444	Q99583	reviewed
ENSG00000070476	Q2QGD7	reviewed
ENSG00000071564	P15923	reviewed
ENSG00000071655	O95983	reviewed
ENSG00000072310	P36956	reviewed
ENSG00000072364	Q9UHB7	reviewed
ENSG00000072736	Q12968	reviewed
ENSG00000073282	Q9H3D4	reviewed
ENSG00000073584	Q969G3	reviewed
ENSG00000073861	Q9UL17	reviewed
ENSG00000074047	P10070	reviewed
ENSG00000074219	Q15562	reviewed
ENSG00000074657	Q9HCE3	reviewed
ENSG00000075407	P17032	reviewed
ENSG00000075426	P15408	reviewed
ENSG00000075891	Q02962	reviewed
ENSG00000076108	Q9UIF9	reviewed
ENSG00000077092	P10826	reviewed
ENSG00000077150	Q00653	reviewed
ENSG00000078043	O75928	reviewed
ENSG00000078246	O75386	reviewed
ENSG00000078399	P31269	reviewed
ENSG00000078403	P55197	reviewed
ENSG00000078900	O15350	reviewed
ENSG00000079263	Q13342	reviewed
ENSG00000079432	Q96RK0	reviewed
ENSG00000080298	P48380	reviewed
ENSG00000081059	P36402	reviewed
ENSG00000081189	Q06413	reviewed
ENSG00000081386	Q9Y2H8	reviewed
ENSG00000081665	Q5JVG8	reviewed
ENSG00000082175	P06401	reviewed
ENSG00000082641	Q14494	reviewed
ENSG00000083307	Q6ISB3	reviewed
ENSG00000083812	O75467	reviewed
ENSG00000083814	Q8TAW3	reviewed
ENSG00000083817	Q9BWM5	reviewed
ENSG00000083828	Q9NXT0	reviewed
ENSG00000083838	Q9NWS9	reviewed
ENSG00000083844	O43296	reviewed
ENSG00000084093	Q13127	reviewed
ENSG00000084676	Q15788	reviewed
ENSG00000085274	Q9NPC7	reviewed
ENSG00000085276	Q03112	reviewed
ENSG00000085644	O14771	reviewed
ENSG00000086102	Q12986	reviewed
ENSG00000087510	Q92754	reviewed
ENSG00000087903	P48378	reviewed
ENSG00000088247	Q92945	reviewed
ENSG00000088876	Q6P1L6	reviewed
ENSG00000088881	Q9BQW3	reviewed
ENSG00000089116	Q9H2C1	reviewed
ENSG00000089225	Q99593	reviewed
ENSG00000089335	Q9NR11	reviewed
ENSG00000089486	Q9H305	reviewed
ENSG00000089775	P24278	reviewed
ENSG00000089902	Q9UKL0	reviewed
ENSG00000090447	Q01664	reviewed
ENSG00000090612	Q14587	reviewed
ENSG00000091010	Q15319	reviewed
ENSG00000091656	Q86UP3	reviewed
ENSG00000091831	P03372	reviewed
ENSG00000092067	Q15744	reviewed
ENSG00000092203	O94842	reviewed
ENSG00000092607	Q96SF7	reviewed
ENSG00000093167	Q9Y608	reviewed
ENSG00000095574	Q9H5V7	reviewed
ENSG00000095794	Q03060	reviewed
ENSG00000095951	P15822	reviewed
ENSG00000096401	Q99459	reviewed
ENSG00000096654	Q99676	reviewed
ENSG00000099326	P28698	reviewed
ENSG00000100105	Q9HBE1	reviewed
ENSG00000100146	P56693	reviewed
ENSG00000100219	P17861	reviewed
ENSG00000100281	Q9UGU5	reviewed
ENSG00000100426	O75132	reviewed
ENSG00000100625	Q9UIU6	reviewed
ENSG00000100644	Q16665	reviewed
ENSG00000100811	P25490	reviewed
ENSG00000100968	Q14934	reviewed
ENSG00000100987	Q9NZR4	reviewed
ENSG00000101057	P10244	reviewed
ENSG00000101076	P41235	reviewed
ENSG00000101096	Q13469	reviewed
ENSG00000101115	Q9UJQ4	reviewed
ENSG00000101126	Q9H2P0	reviewed
ENSG00000101190	Q9UL49	reviewed
ENSG00000101216	Q9UKD1	reviewed
ENSG00000101412	Q01094	reviewed
ENSG00000101493	Q92618	reviewed
ENSG00000101544	Q6IQ32	reviewed
ENSG00000101665	O15105	reviewed
ENSG00000101883	Q8NHV9	reviewed
ENSG00000102034	Q99607	reviewed
ENSG00000102145	P15976	reviewed
ENSG00000102349	O95600	reviewed
ENSG00000102554	Q13887	reviewed
ENSG00000102804	Q15714	reviewed
ENSG00000102870	Q9UEG4	reviewed
ENSG00000102878	Q9ULV5	reviewed
ENSG00000102908	O94916	reviewed
ENSG00000102935	Q2M1K9	reviewed
ENSG00000102974	P49711	reviewed
