From	Entry	Reviewed
ENSG00000123268	P18846	reviewed
ENSG00000123268	F8VRN2	unreviewed
ENSG00000123268	F8VS03	unreviewed
ENSG00000123268	F8VYE5	unreviewed
ENSG00000123268	F8VYN3	unreviewed
ENSG00000134595	P41225	reviewed
ENSG00000269404	Q01892	reviewed
ENSG00000269404	M0QXA8	unreviewed
ENSG00000269404	M0R037	unreviewed
ENSG00000269404	M0R2J9	unreviewed
ENSG00000177842	Q6ZNG0	reviewed
ENSG00000177842	A0A3B3IU22	unreviewed
ENSG00000177842	C9J967	unreviewed
ENSG00000177842	F8WC31	unreviewed
ENSG00000256294	Q9UK10	reviewed
ENSG00000256294	K7ENA2	unreviewed
ENSG00000256294	K7ENC8	unreviewed
ENSG00000256294	K7ERU6	unreviewed
ENSG00000128714	P35453	reviewed
ENSG00000126368	P20393	reviewed
ENSG00000198815	Q9UPW0	reviewed
ENSG00000198815	C9JVP0	unreviewed
ENSG00000198815	C9JXI1	unreviewed
ENSG00000198815	F6VXT0	unreviewed
ENSG00000198815	H7C1Y6	unreviewed
ENSG00000132846	Q96IU2	reviewed
ENSG00000132846	D6RIC4	unreviewed
ENSG00000161940	Q8N143	reviewed
ENSG00000161940	H0YGW0	unreviewed
ENSG00000161940	I3L304	unreviewed
ENSG00000161940	I3L396	unreviewed
ENSG00000164107	P61296	reviewed
ENSG00000164107	H0YAH1	unreviewed
ENSG00000124444	Q9H609	reviewed
ENSG00000135111	O15119	reviewed
ENSG00000170802	P32314	reviewed
ENSG00000170802	C9JTA7	unreviewed
ENSG00000123685	Q9NR55	reviewed
ENSG00000180884	Q3KQV3	reviewed
ENSG00000180884	S4R3B8	unreviewed
ENSG00000227124	Q9BY31	reviewed
ENSG00000227124	C9J5W8	unreviewed
ENSG00000227124	C9J8I7	unreviewed
ENSG00000227124	C9JVC3	unreviewed
ENSG00000227124	E5RKB3	unreviewed
ENSG00000124782	Q92766	reviewed
ENSG00000124782	C9JE09	unreviewed
ENSG00000124782	C9JPJ6	unreviewed
ENSG00000124782	C9JU34	unreviewed
ENSG00000204644	Q9NU63	reviewed
ENSG00000204644	A0A7I2S1M6	unreviewed
ENSG00000167491	Q86YP4	reviewed
ENSG00000167491	C9JGN4	unreviewed
ENSG00000167491	C9JJK9	unreviewed
ENSG00000167491	C9JMI3	unreviewed
ENSG00000167491	C9JVY3	unreviewed
ENSG00000167491	H7C3H1	unreviewed
ENSG00000167491	V9GY85	unreviewed
ENSG00000167491	V9GYX5	unreviewed
ENSG00000172493	P51825	reviewed
ENSG00000172493	A0A669KBI3	unreviewed
