Interactor1	Interactor2	Flows	Intersection
LMNA	CTCF	0.014285714285714096	False
LMNA	EGFR	0.06190476190476191	False
CTCF	hsa-mir-122	0.014285714285714096	False
EGFR	S100A4	0.06190476190476191	False
STUB1	S100A6	0.03809523809523807	False
S100A6	ANXA11	0.03809523809523807	False
S100A4	T	0.06666666666666667	True
EP300	COL1A2	0.06666666666666667	False
EP300	S100A4	0.004761904761904759	True
COL1A2	T	0.06666666666666667	True
HMGA1	hsa-mir-29a	0.06190476190476191	False
HMGA1	NFKB1	0.009523809523809518	False
hsa-mir-29a	SPARC	0.06190476190476191	False
NFKB1	BGN	0.009523809523809518	False
TP53	GPNMB	0.06666666666666667	True
GPNMB	T	0.06666666666666667	True
SP1	IGFBP4	0.06666666666666667	True
SP1	MAOB	0.04285714285714287	True
IGFBP4	T	0.06666666666666667	True
MAOB	T	0.06666666666666667	True
FHL1	EP300	0.07142857142857142	True
VIM	SP1	0.004761904761904759	False
VIM	T	0.06666666666666667	True
ACTN1	ITGB1	0.06190476190476191	False
ACTN1	CEBPA	0.009523809523809518	False
ITGB1	LGALS3BP	0.06666666666666667	False
CEBPA	hsa-mir-122	0.009523809523809518	False
EMD	EGF	0.07142857142857142	False
EGF	SP1	0.07142857142857142	False
DNAJB6	KRT18	0.033333333333333354	False
DNAJB6	STUB1	0.03809523809523807	False
KRT18	SP1	0.033333333333333354	False
LGALS3BP	T	0.06666666666666667	True
FHL2	RUNX1	0.06666666666666667	False
FHL2	RELA	0.004761904761904759	False
RUNX1	T	0.06666666666666667	True
RELA	BGN	0.05714285714285715	True
YWHAG	EPB41L3	0.06666666666666667	False
EPB41L3	T	0.06666666666666667	True
PLEC	VIM	0.07142857142857142	False
PML	TP53	0.019047619047619035	False
PML	RELA	0.05238095238095239	False
ANXA11	T	0.06666666666666667	True
MYOT	ACTN1	0.07142857142857142	False
RARA	MAOB	0.023809523809523794	False
BGN	T	0.06666666666666667	True
DISC1	YWHAG	0.06666666666666667	False
DMD	T	0.06666666666666667	True
PDGFB	SPARC	0.004761904761904759	False
PDGFB	COL3A1	0.06666666666666667	False
SPARC	T	0.06666666666666667	True
COL3A1	T	0.06666666666666667	True
DAG1	DMD	0.06666666666666667	False
DAG1	ITGB1	0.004761904761904759	False
MAP2K4	MAP3K3	0.07142857142857165	False
MAP3K3	hsa-mir-122	0.07142857142857165	False
hsa-mir-122	ANXA11	0.028571428571428595	False
hsa-mir-122	CLIC4	0.06666666666666667	False
SYNE2	PML	0.07142857142857142	False
HNRNPDL	HMGA1	0.07142857142857142	False
CLIC4	T	0.06666666666666667	True
COL6A1	PDGFB	0.07142857142857142	False
FLNC	MAP2K4	0.07142857142857165	False
TTN	FHL2	0.07142857142857142	False
TRIM32	RARA	0.023809523809523794	False
TRIM32	TP53	0.04761904761904763	True
SYNE1	LMNA	0.0047619047619045785	False
SYNE1	DISC1	0.06666666666666667	True
SGCG	FLNC	0.07142857142857165	True
S	DAG1	0.07142857142857142	True
S	COL6A1	0.07142857142857142	True
S	DNAJB6	0.07142857142857142	True
S	LMNA	0.07142857142857142	True
S	SYNE1	0.07142857142857142	True
S	HNRNPDL	0.07142857142857142	True
S	SYNE2	0.07142857142857142	True
S	PLEC	0.07142857142857142	True
S	EMD	0.07142857142857142	True
S	TTN	0.07142857142857142	True
S	MYOT	0.07142857142857142	True
S	TRIM32	0.07142857142857142	True
S	FHL1	0.07142857142857142	True
S	SGCG	0.07142857142857142	True
